Text,Sentiment
additional thoughts,0
aesthetics,0
after ( 3 ) 1-hour support sessions by telephone over a one-week period with no internet services,0
after 1 month i had to buy a new one,-1
after 2 months of horrible battery,-1
after 2 weeks she has no complaints,1
after 2 years,0
after 3 hours of usage it was already at 40 %,-1
after 3 weeks of use,0
after 5 days,0
after 6 iphones breaking with a few months from purchase,-1
after a couple of months,0
after a few days of using,0
after a few days of using the phone,0
after a month,0
after a while you find that android is not consistent like ios is,1
after a year,0
after about a year,0
after about two months of using the phones white lines appeared on the screen of both phones which then cost me additional money to replace the screens,-1
after ai finally got through to him,0
after being a long,0
after continuous problems since i purchased the phone it will not charge at all,-1
after having android phones ever since smart phones came out,0
after having two junk phones within the last few years i finally bought an iphone,0
after i install the sim card from my other phone,0
after less than six months the screen is not working,-1
after phone was unpacked we realized that sound,0
after reading all the bad reviews,0
after reading several reviews,0
after receiving a faulty phone from best mobile i decided to try this company,-1
after resetting,0
after seeing friends get newer android phones,0
after spending an our in person there,0
after that was smooth sailing,1
after the review,0
after this battery got dead,-1
after two weeks of use with my phone i got a message from apple saying `` this cable,0
after two weeks of using the phone,0
after using the iphone 5,0
after using the iphone for a little longer,0
after using the phone for about a week,0
again,0
again,0
again waited for more hours i did n't turn on very disappointed,-1
again we were told that we needed to buy a replacement phone,0
all,0
all accessories are fake,-1
all accessories came with it,1
all accessories were included as well,1
all accessories worked just fine,1
all aplications work perfectly,1
all as expected,1
all at a competitive price,1
all competing brands other than nokia still look worse,1
all i needed was a nano sim,0
all in all,0
all in all,0
all in all,0
all is fine except for one thing,-1
all is ok,1
all it holds is a 1 hour charge,-1
all n ' all,0
all of the apps worked great,1
all of their software,0
all ok,0
all ok,0
all perfect,1
all these things have been a part of the experience i 've had while possessing this phone,0
all they have is hype,-1
all they want is to have what they think most people have,0
all together though this is a good purchase,1
all via the large array of excellent apps,0
all with 5 's,0
allow for hours of operation,1
allowing myself to become an apple geek was a mountain i really did not want to climb,0
allowing the phone to have a smaller bezel,1
allows you to see the person you are talking to if they have a phone with the same capabilities,1
almost brand new,1
almost started a fire after being plugged in for less than 5 minutes,-1
along with being light-weight,1
already have had issues,-1
already i had to order a screen as the p button was not being activated,-1
also,0
also,0
also,0
also,0
also,0
also,0
also,0
also accessories such as headphones,0
also backs my iphone 's data up,1
also came brand new in its package,1
also do not have what problem,1
also has dirty at the entrance to headphones,-1
also i have had to replace the power cord twice in the past year that i have had it,-1
also i thought i was ordering an iphone 5s,0
also i was peeved by the back button,1
also limiting,0
also responds noticeably faster with more accuracy in speech recognition,1
also some positives,0
also the battery drains really fast,-1
also the blue tooth works perfect for streaming music to the stereo,1
also the charger,0
also the charger was law quality-i had to buy a new one,-1
also the phone,0
also the proximity sensor had a wire cut off,-1
also the screen is quite small compared to some of the android phones out now which come with a price tag half that of apple 's,-1
also the shipping was very fast,1
also the volume buttons were messed up,-1
also with a few extra surprises,1
also with more bugs,-1
also you would think they would sell you the product working properly,-1
although i am a big fan of it,0
although i got a locked instead of an unlocked phone,-1
although it is to be noted this is my observation on video playback apps,0
although the speakers appear to be small in size they are not small in sound,1
always,0
always apple,1
always delivers,1
always looking for that perfect phone,0
always swapping phones,0
always thought that the product came unlocked,0
am enjoying the wider screen,1
am pleased with it,1
am surprised that this phone has n't been recalled,-1
am very very happy,1
amaizing phone,1
amazing,1
amazing,1
amazing,1
amazing performance,1
amazon,0
amazon again,0
amazon had to be the ones to make contact with my dis-satisfaction,0
amazon was awesome,1
an absolutely stunning display,1
an amazing deal,1
an android that an iphone is the way to go,0
an extra $ 70 for the taxes,0
an hour to put it back on,-1
an i phone at least,0
an iphone 5,0
an iphone 5 runs ios 7 smoothly enough that i really never felt like i was missing out on anything by not having an iphone 5s,1
android also syncs well with both pc,1
android on the nexus 4 has a slight advantage over ios in my opinion,0
another downside is the fact that you have to buy authorized 3rd party charging docks/cables in order to charge the phone,-1
another feature is the ability to use bluetooth in sync with your vehicle,1
another genius looked at,0
another problem that it has is that sometimes people will call me,0
another thing that has changed from earlier models,0
answer questions 4 stars cause the headphones were missing,-1
any advanced features,0
any other accounts,0
any other app,0
any other company which obliges me to do somethiing through a specific way,0
any phone from amazon,0
any problem with this smartphone in venezuela you can use it with movistar,0
any way whoever shop online careful,-1
anyone thinking of getting one go ahead,1
anything,0
anything,0
anything,0
anything,0
anything,0
anything,0
anything rattling on the inside of the phone after damaging it,0
anyway,0
anyways,0
app setting,0
apparently not-,0
appears to be a new phone,1
apple,0
apple 's assistance is not the same as it was before,-1
apple 's fault because we all know apple 's chargers are the worst,-1
apple 's iphone 5 is an amazing phone with exceptional specs that fulfills everyone 's needs,1
apple 's multitasking can be oftentimes more limiting than android,-1
apple 's warrantee is worthless if you do n't live near an apple store,-1
apple advertises it like if it was perfect,-1
apple advises that it was not unlocked properly by the carrier before being sold as represented by this retailer directbuywireless,-1
apple announced a new,0
apple care is just fantastic,1
apple continues support for a piece of hardware for at least a couple of years,0
apple continues to have the best apps available through the app store,1
apple gives me the impression that it does n't do anything perfectly,0
apple had to finish off their beautifully engineered phone with an outstanding four inches retina display,1
apple has changed since then especially after steve jobs,0
apple has finally moved up from its usual 3,1
apple has not only made the iphone 5 look slimmer,1
apple iphone 5 a1428 factory unlocked cellphone,-1
apple iphone 5 is terrible,-1
apple is better than android,1
apple is by definition annoying,-1
apple is my new best friend now,1
apple is no help,-1
apple is successful because of design,1
apple just shrugs their shoulders,-1
apple knows how to make phones unlike some of their competition,1
apple makes a lot of money on these phones,-1
apple makes most of their hardware,1
apple not recognize the warranty because some parts were not the original,-1
apple prides itself in user experience,1
apple products i have never failed me,1
apple store said it did not pass vmi,-1
apple told me they could do nothing further -- that they have no ability to interface with at & t to solve my problem,-1
apple tv,0
apple tv,0
apple was able to make this new iphone almost 20 percent thinner than their previous iphones,1
apple went above,1
apple will not provide any warranty even if you wanted to buy one after buying the product,0
apple will replace them for free if your phone qualifies,0
apple will soon release 8,0
apple would not fix the non working functions,-1
appreciated,1
apps,0
apps,0
apps,0
apps,0
apps,0
apps,0
apps,0
apps,0
apps,0
apps in the app store you can pay for for,0
are netflix,0
are often free,0
are priced toward the more expensive end,-1
are you ? learn how to create,0
arrived just as expected,1
arrived new with all accessories,1
arrived on time,1
arrived on time,1
arrived promptly,1
art,0
as advertised,1
as always with apple products you have the down side- their own sized sim card,-1
as an avid apple user,0
as dependable as it,1
as described,0
as described,1
as described,1
as described,1
as described,1
as described,1
as described,1
as described,1
as expected,1
as expected,1
as expected,1
as far as iphones go in general,0
as far as the software goes,0
as i mentioned,0
as i said,0
as i said before not that bad,0
as im not from usa ( sorry for bad english ) i had to take my phone to the stores here,0
as it appears it was refurbised,-1
as long as you do n't put it in your pocket with sharp objects like a bunch of keys,0
as much as i am not an apple fan form many reasons,0
as nice as buying from the store,1
as of right now,0
as others have written in their reviews,0
as per given details,0
as soon as it arrived i inserted the chip,1
as that 's one of the most important aspect w,0
as the new ios 7 was applied the phone relocked,-1
as they broke out,-1
as this voice-recognition system with spoken responses can now get sports statistics,1
as would save the time to select,0
ashish,0
aside from the s,0
asked me for $ 269 to replace the phone with another iphone 5,0
asked me to put my simcard,0
asking for apple id every step of updating,-1
aspect ratio is multilingual,-1
assure that my consumed product will not come with defects '',0
at & t,0
at & t have very poor coordination on troubleshooting network issues with their product-in-partnership,-1
at a cost of $ 20 a piece,0
at an amazing rate it could hardly hold a full charge for 30 minutes,-1
at first it was perfect,0
at least for now,0
at least in my eyes,0
at least on android i just click app,0
at least one more time,0
at least red,0
at least til i can get something more current,0
at least works,0
at the beginning was n't working all right,-1
at the beginning when i got to brazil,0
at the end of the day my primary use of this is still as a phone,0
at the moment everything is working ok,1
at the store they show me that it was not a true i phone,-1
audio books,0
audiobooks,0
authorized aftermarket accessories tend to be less competitively priced,-1
avoid the iphone,-1
awesome camera,1
awesome condition,1
awesome phone,1
awesome seller phone shipped quick works well,1
awful,-1
awful,-1
awful the next,-1
ayu,0
b it unfortunately it does not fit on my i phone 5,-1
b0097czjeoemailsimmeonpatterson,0
back on every day,0
bad,-1
bad,-1
bad experience,-1
bad experience,1
bad product,-1
bad product all around,-1
bad seller,-1
bad seller,-1
bad there still deliver the product,-1
barely had scratches on it,1
barly noticable,0
based on this i would highly recommend the seller `` rushnboi '' to anyone,1
basic apps like yelp,0
batery last for one day only,-1
battery,0
battery drained in single hours,-1
battery dropped fascinatingly quickly,-1
battery in these are n't that great,-1
battery indicator was n't working from day one,-1
battery is dead,-1
battery is fantastic,1
battery is in good quality,1
battery is outstanding on iphone5,1
battery is still strong,1
battery is very limited not the newest iphone,-1
battery issue,-1
battery lasts for a really short amount of time,-1
battery lasts longer,1
battery life,0
battery life is terrible,-1
battery life neeeds improvements,-1
battery life was really poor,-1
battery power jumps from 90 to 56 % in a matter of minutes for example,-1
battery problem,-1
battery would not charge so i had to return it,-1
battery would not last,-1
be aware,-1
be careful if you have kept current with all updates,-1
be very carefull,-1
be/fgqezxoqkhg,0
be/fgqezxoqkhg check this youtube video for a better review vs galaxy s4 http,0
beatrice,0
beautiful,1
beautiful,1
beautiful,1
beautiful device,1
beautiful hardware,1
became defective after a month,-1
because android allows me to do more stuff on my phone,0
because dropping it did n't affect it,1
because google was n't the one who made the hardware for these phones,0
because it comes with the device to open it,0
because it does not work,-1
because my turn off switch no longer worked,-1
because of a number of reasons,0
because of that,-1
because of the low megapixel count,-1
because of this,0
because the case is made out of aluminum,0
because the sellers assume that the iphone works properly,0
because there was a credit card number registered in settings,0
because those reviews are not my case,0
become very `` buggy '',0
been trying for ages to open the sim card with the tool they provide in the box,-1
been using the phone for several months,0
before anyone thinks i 'm an apple fanboy,0
before putting my simcard in,0
before this purchase,0
begin innovating again,0
being able to read the details about the phone i would n't have purchased the phone i would have purchased another one with out scratches,-1
being an apple fan with macbooks,0
being someone who appreciates technology,0
being that i need to replace my phone that was stolen i will replace it with an i phone 5,1
besides all the bad comments,0
besides being tiny,0
besides its thick size,0
besides that,0
best,0
best cell phone i have ever used,1
best ip,0
best on the planet,1
best order i 've ever done on a phone used,1
best phone around,1
best phone came in perfect condition works just fine like brand new _“‘´Ùè_“‘´Ùè_“‘´Ùè_“‘´Ùè_“‘´Ùè_“‘´Ùè_“‘´Ùè,1
best phone on the market imho,1
best place to get it from,1
best smartphone i have ever used by far,1
better,1
better built quality,1
better call quality ( 3 mikes ),1
better camera,1
better software interface,1
better speakers,1
better than i expected,1
beware of the buyer,-1
beyond to provide for my needs,1
beyond with customer service,1
beyond with the ios6 software,1
big,0
big dissapointment from apple,-1
bigger screen,1
black,0
black,0
blacks are blacker,0
blue lines in it,-1
bluetooth,0
bluetooth,0
bluetooth have grayed out,-1
bluetooth time,0
both,0
both are running pure android,0
both did n't work,-1
both headphones,0
both phones will give you a great experience,1
both the iphone 5,0
both the product,0
both works great,1
bought `` new '' iphone 5,-1
bought an used one,0
bought it for my husband,0
bought it for my teenage daughter,0
bought new iphone 5 for my wife,0
bought one of the best android phones at the time - a samsung galaxy s2 ( which started having hardware/software problems about a year later ),0
bought this as a gift for my girlfriend,0
bought this for my kid,0
bought this one for my sister who lives overseas,0
bound to split,-1
box,0
box was different as should be same to iphone,-1
box was not harmed,1
box was not harmed,1
box was opened already,-1
brand new,1
brand new,1
brand new,1
brand new after 2 days activated could not hear on ear piece of phone had to turn speaker phone on to hear,-1
brand new iphone in it 's original apple packaging,1
bright,1
brittle hardware of android phones ( in my experience,-1
brought me closer to my friends,1
buen producto,0
buenisimo,1
bueno,0
bueno,0
bummer,0
buy 100 % brand new,0
buy a charger for a phone that had all rights to have came with a working charger,0
buy an iphone 4s,0
buy an iphone 5 that according to the announcement was brand new,0
buy it at an actual store,-1
buy one,0
buy the case,0
buy the device you want,0
buy the htc one,0
buy the nexus 4,0
buy this,1
buyer beware,-1
buyer please beware,-1
by the time it 's 2,0
by the way,0
bye,0
bye bye apple,-1
c models to buffer the real releases apple has n't let me down,1
ca n't do email attachements except pictures,-1
ca n't log on to wifi of my school,-1
ca n't share to any apps except a couple,-1
ca n't switch to different type of keyboards like swiftkey,-1
cable,0
cable from my iphone does not work the phone indicates that are not a certified product 'm very disappointed,-1
cable to make sure if one of them were broken,0
cables,0
calendar,0
calendar,0
call me old fashioned,0
called apple,0
called these seller,0
calling works great on here i 've never had an issue with calls besides signal issues with my carrier,1
calls record as it was used product,-1
calls sound terrible,-1
came early was brand new,1
came fast great quality,1
came in perfect shape,1
came in priority mail shipping box with all described accessories,1
came in time,1
came on time,1
came sealed packaging,0
came with a nice usb cable,1
came with all accessories in its box,1
came with no sim card,-1
came with the headphones,1
came with very good accessories including an iphone case,1
camera flash as well,0
camera not served,-1
camera not working,-1
camera sucks,-1
camping outside apple stores to buy the next new phone when the reality does not seem to exceed the hype,0
can all of these people be wrong ? if you are looking for a dependable phone,0
can also use majic jack,1
can be able to use any carrier even any countries also,1
can i use this phone in venezuela ?,0
can not `` survive '' more than 1 day,-1
can not be used anymore,-1
can not open product for battery replacement,-1
can not use the front camera,-1
can someone tell me what does that mean,0
canon 7d,0
capturing special moments on camera,1
care to their customers is something a key strategy the seller has followed,1
carrier,0
carrier apps,1
carrier apps ),0
carrier-forced apps,0
cell was used,-1
cellstore33 was great,1
celular robado,0
changing from an android to apple is different,0
changing setting,0
charge,0
charge,0
charger,0
charger,0
charger,0
charger,0
charger,0
charger are not original,-1
charger as stated,1
charger does n't work after 3 weeks,-1
charger into a store to get a replacement,0
charger unusable because it is not certified by apple,-1
charger were dirty,-1
charges,0
charging it,1
charging port was faulty,-1
cheap parts on their refurbish,-1
cheaper than this ripoff,-1
check this youtube video for a better review vs galaxy s4 http,0
cheers,0
chinatown wars,0
chips it came unlocked,0
classy,1
clean,1
clean icloud,1
clearly evident,0
clearly this is froud if any seller is doing this,-1
clicks on the wrong apps by its self,-1
close immediately,-1
color saturation is noticeably better,1
colors are more rich,1
com,0
com,0
com was $ 500,0
com/gp/product/b0097czjeo ? redirect=true,0
comes unlocked by default,1
comes with headphones,1
comforfreeiphonehurry,0
coming from an artist 's perspective,0
compare apples-to-apples with a battery boost case,0
completely disappointed with amazon,-1
completing my daily tasks,1
complicated,-1
conclusion,0
conking out after the first year,0
connected to metropcs just fine,1
connection cable,-1
cons,0
cons,0
cons,0
cons,0
constantly press apps automatically without me messing with it,-1
consumers may be purchasing bigger phones including near ipad size phablets,0
contacts,0
contacts are google based,0
contents,0
continues to close down all the time even though on 93 % charged,-1
control,0
control is incredibly valuable ? this is a primary reason for apple 's success,0
control you portrait rotation,1
convenience the iphone 5 really suits me,1
cool,1
cord,0
cord was damaged,-1
cord were new,1
could do it,0
could n't be happier,1
could n't be happier,1
could n't be more happier,1
could n't see anything,-1
could n't wait to go back to android,-1
could not b happier,1
could not believe how clean it was went the next day to buy another from this seller,1
could not power it off,-1
crap,-1
crisp,1
crisp adding to the multimedia experience,1
cumbersome,-1
customer service is amazing,1
customer service is as bad as the phone,-1
customize,0
customize their own applications,1
cut down cpu/ram usage,0
d,0
d i recomend it to all,1
d7100 ',0
damage take great pictures too,1
damaged in any way,0
damaged in any way,0
data,0
data searching,0
decently well with windows pc through itunes,1
decided to buy it,0
decision wo n't do that again,-1
defective,-1
defective item first of all,0
definitely is unlock from factory came with a charger in the box,0
definitely recommend,1
delete my writing_™…çdo not buy this product,-1
delicate,1
delivered as advertised,1
delivered as promised,1
delivered on time,1
delivered on time,1
delivered on time,1
delivery in due time,1
delivery was not on time,-1
delivery was quick,1
dents,0
dents all over,-1
described,0
described by the seller,0
description in website said `` new '' -,0
description says that it comes with original apple box,0
design,0
design is beautiful,1
despite the pricing i just love their products,1
dictation is out of the question since you will spend more time fixing the sentences from the wrong words,-1
did i get a lemon ? ? ? can anyone do something about this ? i received it for christmas,0
did n't even enjoy,-1
did n't work,-1
did n't work with verizon,-1
did not come with the accesories published,-1
did not get what i was anticipating,-1
did not hold a charge,-1
did not work how it was supposed to,-1
didnt have sticker on it like new phones firstly have,-1
didnt match at ll,-1
die in 3 hours,-1
die when its on 40 %,-1
difficult to customize without jailbreaking it,-1
dings on it,0
dint had any issue with the product,1
directions,0
dirty,-1
discounted,0
disgusting,-1
display is nice,1
dissatisfied,-1
dm1,0
do i recommend the iphone 5 ? well,0
do n't buy a windows 8 phone unless you have a very specific reason to do so,-1
do n't buy from this person battery was no good,-1
do n't buy iphones from amazon,-1
do n't buy it,-1
do n't buy it,-1
do n't buy the iphone unless you want to be scammed,-1
do n't buy this,-1
do n't get me wrong,0
do n't go by other people 's feelings,0
do n't have time to return back,-1
do n't know if it was the seller,0
do n't think too much about it just get it,1
do n't throw your money away,-1
do n't use the wall charger,0
do n't waste your time,-1
do n't work when you plug it,-1
do not buy from these people,-1
do not buy from this seller,-1
do not buy if you have verizon,-1
do not buy it,-1
do not purchase this phone,-1
do not trust this seller,-1
do you have any idea i can get good battrey ?,0
do yourself a favor,0
does n't como in apple 's box,-1
does n't look like an used phone at all,1
does not even feel that it is a used equipment,1
does not last 8 hours of regular usage,-1
does not work with my network,-1
doesnt work properly,-1
dont buy off of ( wranglerrusso ) this kid,-1
dont work,-1
download,0
download new apps,1
dropped out,-1
dropping the files into another window without the use of an extra programme,0
during a month,0
e,0
ear phone,0
earbuds stopped working almost immediately,-1
early delivery love it,1
earphones were new,1
ease go with this,0
ease of use,1
easier to carry around,1
easier to navigate,1
easily my most treasured purchase on amazon to date,1
easy,0
easy shopping,1
easy to use,1
ect,0
eevry thing is as descripted,1
eh,0
elegant phone,1
email,0
emiten call,0
en funcionamiento,0
ended up just buying from there,0
enough said,0
entertainment,0
entertainment in one small device,1
especially electronics,0
especially from a distance since their shapes are so similar,0
especially if you need to tap something on the far edge of the screen,0
especially on the galaxy notes,0
especially with all the competitive deals they have going on,0
essential apps like itunes u,0
etc,0
etc,0
etc ),0
etc ) then you might want consider buying an iphone with more space,0
etc were generic stuffs,1
even a week,0
even any mid to high end android phone,0
even due i ask that i need an unlocked phone,0
even has changed battery,-1
even if all my other devices can,0
even if i remember it i was asked to put in payment info for 'future ' purposes for the free software,-1
even if the wifi connection on it dosent work,-1
even lets me facebook-sort of,0
even on the charger,0
even one of the less common options ) is a matter of personal taste,0
even plugging it into the wall would not work,-1
even provide you with a bit of fun,0
even the delivery i love it so much,1
even though i have the sixth generation already,0
even though some reviews suggest the sound quality was better with the s4,1
even though the iphone 5 is extremely fast already,1
even though there 's some scratches on the phone it 100 % working,1
even though they feel less luxurious,0
even today,0
even virgin mobile though,0
even when i 'm not using it,-1
even when she was n't doing a single thing on it,-1
even with higher resolutions,0
even with the cons i still say the iphone 5 deserves five stars,1
even wozniak backs me up here,0
eventually shut off again as soon as you try to use it,-1
every thing is excellent except the box,1
every thing was good with the phone,1
every time i do i have to go through the hassle of figuring it out,-1
every time i take a picture the phone shuts down also,-1
every time i talked on phone there was a howling sound,-1
everyone knows it 's lighter,1
everythimg as it should be,1
everything,0
everything,0
everything,0
everything,0
everything all right,1
everything apple says it does it really does,1
everything as i expected,1
everything cool so far,1
everything else is good so i think it was worth my money,1
everything else is in perfect condition,1
everything else is working fine,1
everything great,1
everything has been working perfectly,1
everything i expected,1
everything i wanted,1
everything is good,1
everything is good,1
everything is good only the battery is a little weak for my liking,-1
everything is in working condition thank you for a great buy,1
everything is ok,1
everything is working fine,1
everything it said it was,0
everything it was great,1
everything looks perfect,1
everything ok,1
everything ok,1
everything on the phone works perfectly fine for the moment,1
everything still works fine,1
everything syncs with my ipad seamlessly,1
everything was a described,1
everything was great,1
everything was great,1
everything was in order as promised,1
everything works,1
everything works great,1
everything works perfectly,1
everything you can buy to go with it,1
exactly as advertised,1
exactly what i expected,1
exactly what i wanted_…_´Ùè_™… ,1
exactly what published,1
exceed my expectation,1
exceeded expectations,1
excelent,1
excelent,1
excelent,1
excelent,1
excelent,1
excelent,1
excelent,1
excelent,1
excelent phone,1
excelent product,1
excelent relaci’_n price-quality,1
excelente,1
excelente,1
excelente,1
excelente,1
excelente,1
excelente,1
excelente,1
excelente,1
excelente,1
excelente,1
excelente,1
excelente,1
excelente,1
excelente,1
excelente producto,1
excelente producto,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent,1
excellent all the way,1
excellent buy for a great price delivered promptly,1
excellent choice for my needs is the best smart phone in the market,1
excellent condition,1
excellent condition,1
excellent condition,1
excellent condition just as buyer said it was,1
excellent conditions,1
excellent customer service,1
excellent experience,1
excellent iphone,1
excellent iphone5 haunted,1
excellent love it,1
excellent mobile phone for apple fans,1
excellent package as described,1
excellent phone,1
excellent phone,1
excellent phone,1
excellent phone got exactly what we ordered,1
excellent product,1
excellent product,1
excellent product,1
excellent product very good buy,1
excellent purchase description spot on good value for money,1
excellent quality product,1
excellent recommend,1
excellent seller,1
excellent service,1
excellent service,1
excellent service,1
excellent service all cool,1
excelllent,1
except the bluetooth,-1
except the ear phones which are not good,-1
exelent,1
exelent,1
exelent,1
exelent phone,1
expected all part,0
expected shipping time,1
expensive piece of junk,-1
explained,0
extremely happy with this purchase,1
facebook,0
facebook has been brought up,1
facetime is built into the phone,1
facetime over 3g ) some people complain that it has n't changed enough since the first iphone,0
factory unlocked,0
factory unlocked,1
factory unlocked,1
factory unlocked it would definitely buy again,1
factory unlocked phone arrived sonner than expected,1
faded,-1
fails to front,-1
fair,0
fairway solitaire,0
fake old phone´_Åthe serial number tells everything´_Åthe charger,-1
fake phone,-1
false advertising,-1
family,0
family who have an ios device,1
family without the need of another photographer,0
fantastico,1
fast,1
fast,0
fast,1
fast,1
fast,1
fast,1
fast delivery,1
fast delivery,1
fast delivery,1
fast navigation,1
fast phone i suggest you get it,1
fast ship,1
fast shipment,1
fast shipping,1
fast shipping,1
fast shipping,1
fast shipping,1
fast shipping,1
fast shipping,1
fast shipping,1
faster processor,1
faster processor,1
faster smart phone i recommend the s4,0
faster software wise,1
feels delicate,-1
feels good,1
feels good in hand,1
file formats that i have problems playing on the iphone,-1
file management to name a couple ),0
finally,0
finally he sent me the tracking number on 9/12,0
finally made it,1
find out,0
fine,1
fine,1
first i need to mention that while the first few generations of the phone had a decent battery life of up to several days,0
first iphone,0
first iphone,0
first it would not hold its charge,-1
first let us know the imei number,0
first of all i did n't switch on,-1
first of all i ordered 16 gb,0
first of all i said,0
first off,0
first pictures the device is working with simple mobile carrier,1
first please let us know the imei number so that we can handle the issue more clearly,0
firstly i use the phone for fairly basic bread an butter applications,0
fits in any pocket easily compared to the bigger phones out there,1
fixed the problem,1
flakey battery,-1
flat within one day,-1
flawless item,1
follow up service in a shipping challenge was immediate,1
fonts,0
for example,0
for example,0
for example,0
for example,0
for example i ca n't download a file from my email,-1
for finish this review i can say the price was really fear,-1
for my less tech savvy spouse this thing is great,1
for one the phone does not sound everytime i get a text,-1
for other practical uses,0
for sure,0
for the extra money,0
for the most part everything is great for me,1
for the rest is a very cool phone,1
for the same phone ( iphone 5s,0
for those who love to take pictures you now have access to snap a high quality picture whenever,1
forgot to tell that the accessories are not original,-1
found out it is 3 yeats old,-1
four hours max using gps,-1
four more words to go,0
frame,0
frankly i was able to stop reading reviews after hers,0
frequent travelers,0
fresh,1
from 90 % to 20 % suddenly,-1
from my workplace,0
from now i have n't received any positive answer,-1
from then on,0
from this awesome seller again,1
front,0
frustrated,-1
full of scratches,-1
full of scratches,-1
full refund,1
fully satisfied,1
fun,1
functional,1
functionality improved,1
functioning nicely,1
fundamentally the same,0
furthermore,0
furthermore,0
games,0
games like infinity blade ii,0
generally speaking,0
genial,1
genuine unlocked,1
get a new one,0
get a nexus device,0
get a samsung galaxy s4 far better,0
get into phone,0
get it from the apple store,-1
get it to sync,0
get that all accesories were non originals,-1
get the 4s,0
get the app,0
get the htc one,0
get what you pay for,0
